institution_id,org_name,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
grid.1075936.3f,Baycrest Centre for Geriatric Care,0.25,0.6331372549019608,0.375,0.8831372549019608,1.258137254901961,28.30817051509769,29.805968986207432,,
grid.1075937.3e,University of Toronto Mississauga,0.6335950399637728,0.2789794154336111,0.14285714285714285,0.9125744553973838,1.0554315982545266,69.42940778326647,13.535424095071635,,
grid.1075948.36,"Institute of Basic Medical Sciences, CAMS&PUMC",0.0,0.0,0.6736111111111112,0.0,0.6736111111111112,,100.0,,
grid.1075964.38,University of Arizona Health Sciences,1.0294011544011543,2.0490079514273063,1.3066815589698884,3.0784091058284604,4.385090664798349,33.439387651633204,29.798279188600922,,
grid.1076.0,The Heart Research Institute,0.0,0.20899470899470898,0.0,0.20899470899470898,0.20899470899470898,0.0,0.0,,
grid.10772.33,Universidade Nova de Lisboa,0.4221299915380586,0.37338525500205544,0.05,0.7955152465401141,0.8455152465401141,53.0637210756177,5.913553919293853,,
grid.10776.37,University of Palermo,3.5207889568502777,2.6467803933792307,0.45142045454545454,6.167569350229508,6.618989804774962,57.085518733879525,6.820080825926008,,
grid.1077865.3a,Centre Hospitalier Universitaire Voudois,0.24949637389202256,0.12257646702748895,0.25183823529411764,0.37207284091951154,0.6239110762136292,67.05578759133208,40.36444373170375,,
grid.1078021.3d,Buddhist Tzu Chi Medical Foundation,0.0,0.0,0.031007751937984496,0.0,0.031007751937984496,,100.00000000000001,,
grid.1078223.3d,"VA Mid-Atlantic Mental Illness Research, Education and Clinical Center",0.008528864059590318,0.017057728119180632,0.0,0.025586592178770948,0.025586592178770948,33.33333333333334,0.0,,
grid.1078284.30,VA Bedford Healthcare System,0.0,0.04772727272727273,0.0,0.04772727272727273,0.04772727272727273,0.0,0.0,,
grid.10784.3a,Chinese University of Hong Kong,3.660604794759014,19.68898753686009,41.65760245263277,23.349592331619103,65.00719478425188,15.677382040636171,64.08152603859844,,
