researcher_id,coauthor_count,shared_paper_strength,fractional_collaboration_strength,component,component_size,in_giant_component,community
ur.010006037705.65,228,228.0,0.9999998,0,59091,True,17
ur.01000610641.26,9,10.0,1.9999998,19,48,False,88
ur.010006107052.41,7,7.0,0.99999994,0,59091,True,8
ur.01000621064.47,33,100.0,6.0,0,59091,True,3
ur.010006214747.23,18,20.0,2.0,0,59091,True,35
ur.010006240147.19,262,262.0,1.0000001,0,59091,True,1
ur.010006254024.28,6,6.0,1.0,20,7,False,560
ur.010006306404.39,7,7.0,0.99999994,0,59091,True,17
ur.01000630726.71,22,22.0,2.0,0,59091,True,13
ur.01000634420.06,166,166.0,1.9999998,0,59091,True,72
ur.01000636166.41,23,23.0,1.0,0,59091,True,1
ur.010006373302.14,12,21.0,3.0,0,59091,True,53
ur.010006444326.12,5,5.0,0.99999994,21,9,False,370
ur.01000645007.85,121,121.0,2.0000002,0,59091,True,10
ur.01000647065.97,557,997.0,2.9999995,0,59091,True,1
ur.01000647321.40,2,2.0,0.99999994,22,3,False,1396
ur.01000664040.09,18,18.0,1.0,0,59091,True,3
ur.010006705715.21,6,12.0,2.0,23,7,False,565
ur.010006717525.25,3,6.0,1.9999999,24,4,False,1057
ur.010006750115.60,27,27.0,0.99999994,0,59091,True,13
ur.01000675467.23,2023,2810.0,3.9999998,0,59091,True,5
ur.010006760173.42,8,8.0,0.99999994,0,59091,True,28
ur.01000701570.40,23,23.0,1.0,0,59091,True,6
ur.010007020035.32,57,79.0,3.0,0,59091,True,1
ur.01000706457.19,45,45.0,1.0,0,59091,True,1
ur.01000714405.91,36,43.0,3.0,0,59091,True,8
ur.01000716556.93,47,97.0,7.9999995,0,59091,True,12
ur.010007224664.30,5,5.0,0.99999994,25,6,False,749
ur.010007230211.25,9,33.0,7.9999995,0,59091,True,42
ur.01000732347.72,3,3.0,0.99999994,26,4,False,1232
ur.01000732563.66,29,52.0,2.0,0,59091,True,1
ur.010007341062.32,165,413.0,4.0000005,0,59091,True,2
ur.010007375421.38,22,22.0,1.0000001,0,59091,True,9
ur.01000741623.55,8,14.0,1.9999999,0,59091,True,4
ur.010007427147.05,29,98.0,4.0000005,0,59091,True,7
ur.01000754377.06,12,12.0,2.0,27,21,False,130
ur.01000756214.18,13,24.0,1.9999999,0,59091,True,1
ur.010007575725.20,3,8.0,2.9999995,0,59091,True,35
ur.010007575752.43,14,28.0,1.9999995,0,59091,True,15
ur.010007603126.96,8,16.0,1.9999999,0,59091,True,39
ur.01000767510.20,30,30.0,1.0000002,0,59091,True,36
ur.010007716425.58,55,127.0,7.9999995,0,59091,True,14
ur.010007753563.00,22,134.0,23.0,0,59091,True,14
ur.010007757513.61,5,5.0,0.99999994,21,9,False,370
ur.010007761762.24,4,4.0,1.0,0,59091,True,35
ur.010007777223.80,24,24.0,1.0000001,0,59091,True,24
ur.010010024356.09,11,11.0,1.0000001,28,17,False,168
ur.010010134422.40,17,17.0,0.99999994,0,59091,True,33
ur.01001020144.75,115,224.0,1.9999995,0,59091,True,51
ur.010010260126.62,3,6.0,1.9999999,0,59091,True,55
ur.01001027733.49,28,55.0,1.9999999,0,59091,True,10
ur.01001030751.39,34,34.0,1.0,0,59091,True,15
ur.01001046100.05,17,17.0,0.99999994,0,59091,True,4
ur.01001061244.89,24,55.0,10.999999,0,59091,True,22
ur.01001075703.87,16,16.0,1.0,0,59091,True,11
ur.010011005313.02,10,13.0,2.0,0,59091,True,47
ur.010011007414.35,46,81.0,9.999999,0,59091,True,6
ur.01001103503.93,254,483.0,1.9999999,0,59091,True,1
ur.01001113112.07,71,151.0,19.0,0,59091,True,12
