community,modal_for_l4,n_authors,group_authors,author_share,rank
8,Bioinformatics and Computational Biology,17,1748,0.009725400457665904,14
8,Machine Learning,17,1748,0.009725400457665904,15
8,Medical Physiology,16,1748,0.009153318077803204,16
8,Microbiology,16,1748,0.009153318077803204,17
8,Pharmacology and Pharmaceutical Sciences,13,1748,0.007437070938215103,18
8,Public Health,12,1748,0.006864988558352402,19
8,Reproductive Medicine,11,1748,0.006292906178489702,20
8,Biomedical Engineering,8,1748,0.004576659038901602,21
8,Unclassified,7,1748,0.004004576659038902,22
8,Ophthalmology and Optometry,5,1748,0.002860411899313501,23
8,Applied Computing,2,1748,0.0011441647597254005,24
8,Computer Vision and Multimedia Computation,2,1748,0.0011441647597254005,25
8,Sports Science and Exercise,2,1748,0.0011441647597254005,26
8,Statistics,1,1748,0.0005720823798627002,27
9,Epidemiology,495,1609,0.307644499689248,1
9,Clinical Sciences,337,1609,0.20944686140459912,2
9,Genetics,301,1609,0.18707271597265382,3
9,Cardiovascular Medicine and Haematology,78,1609,0.048477315102548164,4
9,Biological Psychology,59,1609,0.036668738346799255,5
9,Biochemistry and Cell Biology,49,1609,0.030453697949036667,6
9,Bioinformatics and Computational Biology,49,1609,0.030453697949036667,7
9,Health Services and Systems,38,1609,0.023617153511497825,8
9,Reproductive Medicine,29,1609,0.018023617153511497,9
9,Unclassified,22,1609,0.013673088875077687,10
9,Medical Biochemistry and Metabolomics,21,1609,0.01305158483530143,11
9,Public Health,17,1609,0.010565568676196395,12
9,Oncology and Carcinogenesis,16,1609,0.009944064636420136,13
9,Allied Health and Rehabilitation Science,13,1609,0.008079552517091361,14
9,Statistics,12,1609,0.0074580484773151025,15
9,Midwifery,11,1609,0.006836544437538844,16
9,Nutrition and Dietetics,10,1609,0.006215040397762586,17
9,Clinical and Health Psychology,8,1609,0.004972032318210068,18
9,Dentistry,6,1609,0.0037290242386575512,19
9,Immunology,6,1609,0.0037290242386575512,20
9,Medical Physiology,6,1609,0.0037290242386575512,21
9,Applied Computing,4,1609,0.002486016159105034,22
9,Human Geography,3,1609,0.0018645121193287756,23
9,Paediatrics,3,1609,0.0018645121193287756,24
9,Pharmacology and Pharmaceutical Sciences,3,1609,0.0018645121193287756,25
9,Sports Science and Exercise,3,1609,0.0018645121193287756,26
9,Applied Economics,2,1609,0.001243008079552517,27
9,Medical Microbiology,2,1609,0.001243008079552517,28
9,Ophthalmology and Optometry,2,1609,0.001243008079552517,29
9,Cognitive and Computational Psychology,1,1609,0.0006215040397762585,30
9,"Education Policy, Sociology and Philosophy",1,1609,0.0006215040397762585,31
9,Evolutionary Biology,1,1609,0.0006215040397762585,32
9,Human Resources and Industrial Relations,1,1609,0.0006215040397762585,33
10,Clinical Sciences,350,1599,0.2188868042526579,1
10,Genetics,333,1599,0.20825515947467166,2
10,Epidemiology,274,1599,0.1713570981863665,3
10,Biological Psychology,170,1599,0.10631644777986242,4
10,Neurosciences,100,1599,0.06253908692933083,5
10,Unclassified,99,1599,0.06191369606003752,6
10,Biochemistry and Cell Biology,83,1599,0.05190744215134459,7
10,Health Services and Systems,45,1599,0.028142589118198873,8
10,Medical Biochemistry and Metabolomics,40,1599,0.025015634771732333,9
10,Bioinformatics and Computational Biology,39,1599,0.024390243902439025,10
10,Statistics,12,1599,0.0075046904315197,11
10,Reproductive Medicine,11,1599,0.0068792995622263915,12
10,Cardiovascular Medicine and Haematology,10,1599,0.006253908692933083,13
10,Ophthalmology and Optometry,9,1599,0.005628517823639775,14
10,Oncology and Carcinogenesis,7,1599,0.004377736085053158,15
10,Medicinal and Biomolecular Chemistry,5,1599,0.0031269543464665416,16
10,Immunology,4,1599,0.0025015634771732333,17
10,Analytical Chemistry,3,1599,0.001876172607879925,18
10,Machine Learning,3,1599,0.001876172607879925,19
10,Econometrics,1,1599,0.0006253908692933083,20
10,Pharmacology and Pharmaceutical Sciences,1,1599,0.0006253908692933083,21
11,Ophthalmology and Optometry,593,1580,0.37531645569620253,1
11,Genetics,280,1580,0.17721518987341772,2
11,Clinical Sciences,149,1580,0.09430379746835443,3
11,Epidemiology,102,1580,0.06455696202531645,4
11,Health Services and Systems,61,1580,0.03860759493670886,5
11,Cardiovascular Medicine and Haematology,57,1580,0.036075949367088606,6
11,Biomedical Engineering,39,1580,0.024683544303797468,7
11,Oncology and Carcinogenesis,37,1580,0.02341772151898734,8
11,Public Health,35,1580,0.022151898734177215,9
11,Biological Psychology,25,1580,0.015822784810126583,10
11,Machine Learning,24,1580,0.015189873417721518,11
11,Nutrition and Dietetics,24,1580,0.015189873417721518,12
11,Unclassified,22,1580,0.013924050632911392,13
11,Biochemistry and Cell Biology,20,1580,0.012658227848101266,14
11,Bioinformatics and Computational Biology,18,1580,0.01139240506329114,15
11,Medical Physiology,18,1580,0.01139240506329114,16
11,Reproductive Medicine,14,1580,0.008860759493670886,17
11,Medical Biochemistry and Metabolomics,12,1580,0.007594936708860759,18
11,Allied Health and Rehabilitation Science,11,1580,0.006962025316455696,19
11,Neurosciences,10,1580,0.006329113924050633,20
11,Civil Engineering,8,1580,0.005063291139240506,21
11,Applied and Developmental Psychology,7,1580,0.004430379746835443,22
11,Agricultural Biotechnology,4,1580,0.002531645569620253,23
11,Dentistry,3,1580,0.0018987341772151898,24
11,Pharmacology and Pharmaceutical Sciences,3,1580,0.0018987341772151898,25
11,"Graphics, Augmented Reality and Games",2,1580,0.0012658227848101266,26
11,Computer Vision and Multimedia Computation,1,1580,0.0006329113924050633,27
11,Human-Centred Computing,1,1580,0.0006329113924050633,28
12,Biological Psychology,396,1564,0.2531969309462916,1
12,Clinical Sciences,389,1564,0.24872122762148338,2
12,Epidemiology,164,1564,0.10485933503836317,3
12,Health Services and Systems,116,1564,0.0741687979539642,4
12,Genetics,109,1564,0.06969309462915602,5
12,Public Health,104,1564,0.06649616368286446,6
12,Nutrition and Dietetics,68,1564,0.043478260869565216,7
12,Cardiovascular Medicine and Haematology,52,1564,0.03324808184143223,8
12,Cognitive and Computational Psychology,24,1564,0.015345268542199489,9
12,Biochemistry and Cell Biology,19,1564,0.012148337595907928,10
12,Pharmacology and Pharmaceutical Sciences,16,1564,0.010230179028132993,11
12,Unclassified,12,1564,0.0076726342710997444,12
12,Clinical and Health Psychology,10,1564,0.00639386189258312,13
12,Dentistry,9,1564,0.005754475703324808,14
12,Social and Personality Psychology,9,1564,0.005754475703324808,15
12,Oncology and Carcinogenesis,8,1564,0.005115089514066497,16
12,Applied Computing,7,1564,0.004475703324808184,17
12,Public Law,7,1564,0.004475703324808184,18
12,Reproductive Medicine,7,1564,0.004475703324808184,19
12,"Agriculture, Land and Farm Management",6,1564,0.0038363171355498722,20
12,Applied and Developmental Psychology,6,1564,0.0038363171355498722,21
12,Immunology,5,1564,0.00319693094629156,22
12,"Graphics, Augmented Reality and Games",3,1564,0.0019181585677749361,23
12,Neurosciences,3,1564,0.0019181585677749361,24
12,Statistics,3,1564,0.0019181585677749361,25
12,Allied Health and Rehabilitation Science,2,1564,0.0012787723785166241,26
12,Medical Biochemistry and Metabolomics,2,1564,0.0012787723785166241,27
12,Ophthalmology and Optometry,2,1564,0.0012787723785166241,28
12,Policy and Administration,2,1564,0.0012787723785166241,29
12,Human Resources and Industrial Relations,1,1564,0.0006393861892583121,30
12,Machine Learning,1,1564,0.0006393861892583121,31
12,Midwifery,1,1564,0.0006393861892583121,32
12,Social Work,1,1564,0.0006393861892583121,33
13,Clinical Sciences,396,1240,0.3193548387096774,1
13,Genetics,286,1240,0.2306451612903226,2
13,Epidemiology,218,1240,0.17580645161290323,3
13,Nutrition and Dietetics,86,1240,0.06935483870967742,4
13,Cardiovascular Medicine and Haematology,61,1240,0.049193548387096775,5
13,Oncology and Carcinogenesis,59,1240,0.04758064516129032,6
13,Bioinformatics and Computational Biology,39,1240,0.031451612903225803,7
13,Health Services and Systems,33,1240,0.02661290322580645,8
13,Biological Psychology,15,1240,0.012096774193548387,9
13,Public Health,11,1240,0.008870967741935484,10
13,Dentistry,6,1240,0.004838709677419355,11
13,Immunology,6,1240,0.004838709677419355,12
13,Statistics,6,1240,0.004838709677419355,13
13,Medical Biochemistry and Metabolomics,4,1240,0.0032258064516129032,14
13,Sports Science and Exercise,4,1240,0.0032258064516129032,15
13,Machine Learning,3,1240,0.0024193548387096775,16
13,Food Sciences,2,1240,0.0016129032258064516,17
13,Medical Microbiology,1,1240,0.0008064516129032258,18
13,Ophthalmology and Optometry,1,1240,0.0008064516129032258,19
13,Pharmacology and Pharmaceutical Sciences,1,1240,0.0008064516129032258,20
13,Reproductive Medicine,1,1240,0.0008064516129032258,21
13,Unclassified,1,1240,0.0008064516129032258,22
14,Clinical Sciences,341,1219,0.2797374897456932,1
14,Epidemiology,325,1219,0.2666119770303528,2
14,Public Health,100,1219,0.08203445447087777,3
14,Cardiovascular Medicine and Haematology,95,1219,0.07793273174733388,4
14,Health Services and Systems,86,1219,0.07054963084495489,5
14,Nutrition and Dietetics,76,1219,0.062346185397867106,6
14,Biological Psychology,39,1219,0.03199343724364233,7
14,Genetics,39,1219,0.03199343724364233,8
14,Oncology and Carcinogenesis,21,1219,0.017227235438884332,9
14,Medical Biochemistry and Metabolomics,19,1219,0.015586546349466776,10
14,Allied Health and Rehabilitation Science,10,1219,0.008203445447087777,11
14,Pharmacology and Pharmaceutical Sciences,9,1219,0.007383100902378999,12
14,Biochemistry and Cell Biology,7,1219,0.005742411812961444,13
14,Machine Learning,7,1219,0.005742411812961444,14
14,Neurosciences,7,1219,0.005742411812961444,15
14,Unclassified,7,1219,0.005742411812961444,16
14,Applied Computing,4,1219,0.003281378178835111,17
14,Bioinformatics and Computational Biology,4,1219,0.003281378178835111,18
14,Biomedical Engineering,4,1219,0.003281378178835111,19
14,Pollution and Contamination,4,1219,0.003281378178835111,20
14,Immunology,3,1219,0.002461033634126333,21
14,Reproductive Medicine,3,1219,0.002461033634126333,22
14,Animal Production,2,1219,0.0016406890894175555,23
14,Applied and Developmental Psychology,2,1219,0.0016406890894175555,24
14,Dentistry,2,1219,0.0016406890894175555,25
14,Atmospheric Sciences,1,1219,0.0008203445447087777,26
14,Food Sciences,1,1219,0.0008203445447087777,27
14,Statistics,1,1219,0.0008203445447087777,28
15,Biological Psychology,455,1209,0.3763440860215054,1
15,Genetics,373,1209,0.30851943755169564,2
15,Clinical Sciences,99,1209,0.08188585607940446,3
15,Epidemiology,91,1209,0.07526881720430108,4
15,Pharmacology and Pharmaceutical Sciences,57,1209,0.04714640198511166,5
15,Clinical and Health Psychology,24,1209,0.019851116625310174,6
15,Cardiovascular Medicine and Haematology,20,1209,0.016542597187758478,7
15,Immunology,13,1209,0.010752688172043012,8
15,Unclassified,12,1209,0.009925558312655087,9
15,Applied and Developmental Psychology,11,1209,0.009098428453267164,10
15,Neurosciences,10,1209,0.008271298593879239,11
15,Ophthalmology and Optometry,8,1209,0.006617038875103391,12
15,Biochemistry and Cell Biology,7,1209,0.005789909015715467,13
15,Public Health,5,1209,0.0041356492969396195,14
15,Allied Health and Rehabilitation Science,4,1209,0.0033085194375516956,15
15,Social and Personality Psychology,4,1209,0.0033085194375516956,16
15,Cognitive and Computational Psychology,3,1209,0.0024813895781637717,17
15,Nutrition and Dietetics,3,1209,0.0024813895781637717,18
15,Applied Economics,2,1209,0.0016542597187758478,19
15,Health Services and Systems,2,1209,0.0016542597187758478,20
15,Human Resources and Industrial Relations,2,1209,0.0016542597187758478,21
15,Statistics,2,1209,0.0016542597187758478,22
15,Oncology and Carcinogenesis,1,1209,0.0008271298593879239,23
15,Paediatrics,1,1209,0.0008271298593879239,24
16,Genetics,456,1160,0.3931034482758621,1
16,Epidemiology,236,1160,0.20344827586206896,2
16,Bioinformatics and Computational Biology,102,1160,0.08793103448275862,3
16,Clinical Sciences,82,1160,0.0706896551724138,4
16,Biological Psychology,52,1160,0.04482758620689655,5
16,Ophthalmology and Optometry,46,1160,0.039655172413793106,6
16,Biomedical Engineering,32,1160,0.027586206896551724,7
16,Oncology and Carcinogenesis,23,1160,0.019827586206896553,8
16,Cardiovascular Medicine and Haematology,19,1160,0.016379310344827588,9
16,Machine Learning,18,1160,0.015517241379310345,10
16,Immunology,17,1160,0.014655172413793103,11
16,Public Health,15,1160,0.01293103448275862,12
16,Biochemistry and Cell Biology,14,1160,0.01206896551724138,13
16,Health Services and Systems,11,1160,0.009482758620689655,14
16,Archaeology,10,1160,0.008620689655172414,15
16,Statistics,9,1160,0.007758620689655172,16
16,Reproductive Medicine,5,1160,0.004310344827586207,17
16,Cybersecurity and Privacy,3,1160,0.002586206896551724,18
16,Anthropology,2,1160,0.0017241379310344827,19
16,Medical and Biological Physics,2,1160,0.0017241379310344827,20
16,"Graphics, Augmented Reality and Games",1,1160,0.0008620689655172414,21
16,Medical Biochemistry and Metabolomics,1,1160,0.0008620689655172414,22
16,Medical Biotechnology,1,1160,0.0008620689655172414,23
16,Neurosciences,1,1160,0.0008620689655172414,24
16,Nutrition and Dietetics,1,1160,0.0008620689655172414,25
16,Unclassified,1,1160,0.0008620689655172414,26
17,Cardiovascular Medicine and Haematology,327,1139,0.2870939420544337,1
17,Epidemiology,202,1139,0.17734855136084285,2
17,Clinical Sciences,177,1139,0.15539947322212466,3
17,Genetics,163,1139,0.1431079894644425,4
17,Public Health,89,1139,0.0781387181738367,5
17,Health Services and Systems,54,1139,0.04741000877963126,6
17,Nutrition and Dietetics,26,1139,0.0228270412642669,7
17,Immunology,22,1139,0.019315188762071993,8
17,Ophthalmology and Optometry,16,1139,0.014047410008779631,9
17,Biological Psychology,13,1139,0.01141352063213345,10
17,Pollution and Contamination,11,1139,0.009657594381035996,11
17,Oncology and Carcinogenesis,9,1139,0.007901668129938543,12
17,Unclassified,9,1139,0.007901668129938543,13
17,Machine Learning,7,1139,0.006145741878841089,14
17,Bioinformatics and Computational Biology,6,1139,0.0052677787532923615,15
17,Information Systems,3,1139,0.0026338893766461808,16
17,Reproductive Medicine,3,1139,0.0026338893766461808,17
17,Human Resources and Industrial Relations,1,1139,0.000877963125548727,18
17,Neurosciences,1,1139,0.000877963125548727,19
18,Epidemiology,324,1058,0.30623818525519847,1
18,Clinical Sciences,237,1058,0.22400756143667297,2
18,Cardiovascular Medicine and Haematology,109,1058,0.10302457466918714,3
18,Immunology,61,1058,0.057655954631379965,4
18,Health Services and Systems,60,1058,0.05671077504725898,5
18,Public Health,58,1058,0.054820415879017016,6
18,Genetics,48,1058,0.045368620037807186,7
18,Medical Biochemistry and Metabolomics,30,1058,0.02835538752362949,8
18,Nutrition and Dietetics,20,1058,0.01890359168241966,9
18,Oncology and Carcinogenesis,16,1058,0.015122873345935728,10
18,Biological Psychology,15,1058,0.014177693761814745,11
18,Unclassified,12,1058,0.011342155009451797,12
18,Biochemistry and Cell Biology,11,1058,0.010396975425330813,13
18,Microbiology,7,1058,0.006616257088846881,14
18,Ophthalmology and Optometry,6,1058,0.005671077504725898,15
