iso3,country,Female,Male,Unknown,classified,total,female_name_share,unknown_name_share,female_name_ci_low,female_name_ci_high
KGZ,Kyrgyzstan,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,100.0,0.0,,
KHM,Cambodia,0.3076923076923077,0.8173076923076923,0.125,1.125,1.25,27.350427350427353,10.0,,
KOR,South Korea,83.6889461196185,132.41316914162192,157.60455169207614,216.10211526124044,373.7066669533166,38.726574248682866,42.17333155358561,,
KWT,Kuwait,0.2601010101010101,0.644460661220526,0.23467105440564934,0.9045616713215361,1.1392327257271855,28.754370027751754,20.599044348542222,,
LBN,Lebanon,0.0,0.5448261416003352,0.0,0.5448261416003352,0.5448261416003352,0.0,0.0,,
LCA,Saint Lucia,0.05,0.053571428571428575,0.0,0.10357142857142858,0.10357142857142858,48.275862068965516,0.0,,
LIE,Liechtenstein,0.0,0.03294498764774462,0.0,0.03294498764774462,0.03294498764774462,0.0,0.0,,
LKA,Sri Lanka,0.0,0.030287488275685448,1.4664070399024152,0.030287488275685448,1.4966945281781006,0.0,97.97637475747615,,
LTU,Lithuania,0.5372238451249055,1.296609342403407,0.5771454294015269,1.8338331875283127,2.4109786169298397,29.29513157349876,23.938222651533454,,
LUX,Luxembourg,3.507387706855792,6.222314422165572,0.5246415770609318,9.729702129021364,10.254343706082295,36.04825369107752,5.116286249989302,,
LVA,Latvia,3.7125061225740503,2.189922480620155,0.16666666666666666,5.902428603194205,6.069095269860872,62.89794205329245,2.7461534092953412,,
MAR,Morocco,0.09375,0.09375,0.0,0.1875,0.1875,50.0,0.0,,
MEX,Mexico,1.6648580161077788,4.36673594453217,0.26495726495726496,6.031593960639949,6.296551225597214,27.602289328029276,4.2079744206660425,,
MKD,North Macedonia,0.07436574103894007,0.07165557212087832,0.0,0.1460213131598184,0.1460213131598184,50.928004569817666,0.0,,
MLI,Mali,0.21002791068580542,0.2992053998632946,0.2727272727272727,0.5092333105491,0.7819605832763727,41.24394581716088,34.877368317538476,,
MLT,Malta,0.0,0.5808625336927223,0.0,0.5808625336927223,0.5808625336927223,0.0,0.0,,
MMR,Myanmar,0.0,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,,
MNE,Montenegro,0.4,0.6000000000000001,0.0,1.0,1.0,40.0,0.0,,
MOZ,Mozambique,0.0,0.03125,0.0,0.03125,0.03125,0.0,0.0,,
MTQ,Martinique,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,,
MUS,Mauritius,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,99.99999999999999,0.0,,
MWI,Malawi,0.1625,0.045454545454545456,0.4,0.20795454545454545,0.6079545454545454,78.14207650273224,65.7943925233645,,
MYS,Malaysia,2.6158748539852223,2.0632906928814165,0.6849449791096169,4.679165546866638,5.364110525976256,55.90472975970939,12.7690318048575,,
NAM,Namibia,0.33436532507739936,0.22291021671826625,0.0,0.5572755417956656,0.5572755417956656,59.99999999999999,0.0,,
NFK,Norfolk Island,0.0,0.9526635401635402,0.1,0.9526635401635402,1.0526635401635402,0.0,9.499711558782035,,
NGA,Nigeria,0.425403722909473,1.5158696327798886,0.9408167870659887,1.9412733556893615,2.8820901427553505,21.913643519740614,32.64355868364839,,
NLD,Netherlands,174.72127087650333,296.40086765469215,53.70338040249832,471.12213853119545,524.8255189336937,37.08619412817811,10.232616072406186,,
NOR,Norway,69.29480538160142,159.9822707519735,6.322280741644892,229.2770761335749,235.5993568752198,30.223172133105383,2.6834881153743364,,
NPL,Nepal,0.12698412698412698,0.0,0.0,0.12698412698412698,0.12698412698412698,100.0,0.0,,
NZL,New Zealand,15.003047691470123,21.348193218359835,8.51812505396158,36.351240909829954,44.86936596379154,41.272449897062685,18.98427773825798,,
OMN,Oman,0.1388888888888889,0.20833333333333331,0.0,0.3472222222222222,0.3472222222222222,40.0,0.0,,
PAK,Pakistan,0.44719655120750845,3.4434892743764776,1.3105699855699855,3.890685825583986,5.201255811153971,11.494028848766911,25.19718377933842,,
