coauthor_count,n_authors,author_share_percent,survival_percent
53,184,0.26575385993038403,24.424801767840894
54,158,0.22820168407065586,24.15904790791051
55,177,0.2556436587373803,23.930846223839854
56,189,0.272975432211101,23.675202565102474
57,185,0.26719817438652743,23.402227132891372
58,132,0.1906495082109277,23.135028958504847
59,146,0.21086991059693516,22.94437945029392
60,151,0.21809148287765212,22.733509539696982
61,155,0.22386874070222568,22.515418056819332
62,166,0.239756199719803,22.291549316117106
63,84,0.12132241431604489,22.051793116397302
64,150,0.21664716842150872,21.93047070208126
65,61,0.08810318182474688,21.71382353365975
66,128,0.1848722503863541,21.625720351835003
67,129,0.1863165648424975,21.440848101448648
68,127,0.18342793593021073,21.25453153660615
69,138,0.19931539494778802,21.07110360067594
70,66,0.09532475410546384,20.87178820572815
71,85,0.12276672877218828,20.776463451622686
72,119,0.1718734202810636,20.653696722850498
73,109,0.15743027571962967,20.481823302569435
74,111,0.16031890463191645,20.324393026849805
75,111,0.16031890463191645,20.16407412221789
76,53,0.07654866617559976,20.003755217585972
77,68,0.09821338301775062,19.92720655141037
78,112,0.16176321908805985,19.82899316839262
79,57,0.08232592400017331,19.667229949304563
80,70,0.10110201193003741,19.58490402530439
81,118,0.1704291058249202,19.48380201337435
82,137,0.19787108049164465,19.313372907549432
83,120,0.173317734737207,19.115501827057788
84,101,0.14587576007048256,18.94218409232058
85,77,0.11121221312304115,18.7963083322501
86,53,0.07654866617559976,18.685096119127056
87,62,0.08954749628089027,18.608547452951456
88,161,0.23253462743908604,18.518999956670566
89,109,0.15743027571962967,18.28646532923148
90,94,0.1357655588774788,18.12903505351185
91,92,0.13287692996519201,17.993269494634372
92,50,0.07221572280716958,17.86039256466918
93,46,0.06643846498259601,17.78817684186201
94,61,0.08810318182474688,17.721738376879415
95,44,0.06354983607030923,17.633635195054666
96,35,0.05055100596501871,17.570085358984358
97,282,0.4072966766324364,17.51953435301934
98,55,0.07943729508788654,17.112237676386904
99,30,0.04332943368430175,17.032800381299015
100,85,0.12276672877218828,16.989470947614716
101,72,0.10399064084232419,16.866704218842525
102,47,0.0678827794387394,16.762713578000202
103,53,0.07654866617559976,16.694830798561462
104,55,0.07943729508788654,16.618282132385865
105,56,0.08088160954402993,16.538844837297976
106,102,0.14732007452662593,16.457963227753947
107,75,0.10832358421075436,16.31064315322732
108,226,0.3264150670884065,16.202319569016566
109,43,0.06210552161416583,15.87590450192816
110,31,0.04477374814044514,15.813798980313994
111,30,0.04332943368430175,15.769025232173549
112,36,0.051995320421162096,15.725695798489246
113,44,0.06354983607030923,15.673700478068085
114,52,0.07510435171945636,15.610150641997775
115,139,0.20075970940393142,15.53504629027832
116,69,0.09965769747389401,15.334286580874387
117,37,0.053439634877305485,15.234628883400495
118,25,0.03610786140358479,15.181189248523188
119,38,0.05488394933344888,15.145081387119603
120,39,0.05632826378959227,15.090197437786156
121,47,0.0678827794387394,15.033869173996562
122,51,0.07366003726331297,14.965986394557824
123,75,0.10832358421075436,14.892326357294511
124,25,0.03610786140358479,14.784002773083756
125,28,0.04044080477201496,14.747894911680172
126,15,0.021664716842150874,14.707454106908155
127,50,0.07221572280716958,14.685789390066006
128,68,0.09821338301775062,14.613573667258835
129,32,0.046218062596588526,14.515360284241085
130,33,0.04766237705273192,14.469142221644496
131,30,0.04332943368430175,14.421479844591765
132,24,0.0346635469474414,14.378150410907462
133,39,0.05632826378959227,14.343486863960022
134,51,0.07366003726331297,14.287158600170429
135,25,0.03610786140358479,14.213498562907116
136,20,0.02888628912286783,14.177390701503532
137,18,0.025997660210581048,14.148504412380664
138,109,0.15743027571962967,14.122506752170082
139,33,0.04766237705273192,13.965076476450452
140,55,0.07943729508788654,13.917414099397721
141,44,0.06354983607030923,13.837976804309834
142,22,0.031774918035154615,13.774426968239526
143,22,0.031774918035154615,13.74265205020437
144,8,0.011554515649147131,13.710877132169216
145,50,0.07221572280716958,13.69932261652007
146,16,0.023109031298294263,13.627106893712899
147,27,0.038996490315871574,13.603997862414605
148,100,0.14443144561433915,13.565001372098733
149,25,0.03610786140358479,13.420569926484394
150,14,0.02022040238600748,13.38446206508081
151,44,0.06354983607030923,13.364241662694802
152,13,0.01877608792986409,13.300691826624492
153,25,0.03610786140358479,13.281915738694629
154,19,0.02744197466672444,13.245807877291044
155,65,0.09388043964932045,13.218365902624319
