researcher_id,full_name,community,modal_for_l2,modal_for_l4,modal_institution,modal_country,name_gender
ur.01347214467.09,Roderic Guigó,5,Biological Sciences,Genetics,Centre for Genomic Regulation,Spain,Male
ur.01347214733.32,Erdal Zorba,44,Biomedical and Clinical Sciences,Sports Science and Exercise,Gazi University,Turkey,Male
ur.013472171604.89,Katrine Kaspersen,22,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,and the DBDS consortium,,Female
ur.01347221671.30,Mariya Moosajee,9,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Moorfields Eye Hospital NHS Foundation Trust,United Kingdom,Female
ur.01347222561.44,J Hazeldine,9,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,University of Birmingham,United Kingdom,Unknown
ur.01347223463.71,Irena Andršová,7,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,"Department of Internal Medicine and Cardiology, University Hospital Brno and Masaryk University, Czech Republic (I.A., T.N., M.M.).",,Female
ur.01347226015.99,Hung-Yi Chiou,191,Biomedical and Clinical Sciences,Epidemiology,National Health Research Institutes,Taiwan,Male
ur.01347227174.89,Zhi-Feng Miao,38,Biomedical and Clinical Sciences,Medical Physiology,First Hospital of China Medical University,China,Unknown
ur.01347227516.81,Chaobao Zhang,401,Biomedical and Clinical Sciences,Clinical Sciences,Huadong Hospital,China,Unknown
ur.013472345357.12,Summer S. Han,10,Biomedical and Clinical Sciences,Epidemiology,Stanford University,United States,Female
ur.013472346024.35,Gabriella Bulloch,33,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Centre for Eye Research Australia,Australia,Female
ur.013472351433.33,Victor Nauffal,11,Biomedical and Clinical Sciences,Genetics,The Brigham and Women's Hospital Inc,United States,Male
ur.013472352052.07,Rui Hu,816,Biomedical and Clinical Sciences,Reproductive Medicine,Northwest Women's and Children's Hospital,China,Male
ur.013472370363.36,Pierre-Raphaël Schiratti,7,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Medical Research Council,United Kingdom,Male
ur.013472404122.46,SL Au Yeung,5,Health Sciences,Epidemiology,University of Hong Kong,China,Unknown
ur.01347244250.73,Yang Pan,40,Biological Sciences,Genetics,University of Illinois at Chicago,United States,Unknown
ur.013472504324.13,Huachen Xue,16,Biomedical and Clinical Sciences,Clinical Sciences,Guangzhou Medical University,China,Unknown
ur.013472507570.43,Ruoyang Feng,42,Biomedical and Clinical Sciences,Epidemiology,Xi'an Jiaotong University,China,Unknown
ur.013472611554.84,Juncheng Wang,53,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,State Key Laboratory of Cardiovascular Disease,China,Male
ur.013472636764.59,Diego Aguilar-Ramirez,23,Biomedical and Clinical Sciences,Medical Biochemistry and Metabolomics,University of Oxford,United Kingdom,Male
ur.01347271501.17,Marie-Pierre Audrézet,54,Biological Sciences,Clinical Sciences,"Univ Brest, Inserm, UMR 1078, GGB, CHU Brest, F-29200 Brest, France",France,Female
ur.013472725732.45,Michael A. Laffan,5,Biological Sciences,Genetics,Imperial College London,United Kingdom,Male
ur.013472756564.16,Xing Li,989,Health Sciences,Epidemiology,Ningbo Medical Center Lihuili Hospital,China,Female
ur.013472761744.20,Marisa Patti,3,Information and Computing Sciences,Machine Learning,Drexel University,United States,Female
ur.013472762173.79,Michael R. Duggan,19,Biomedical and Clinical Sciences,Genetics,National Institute on Aging,United States,Male
ur.01347301005.94,Jan Mulder,53,Biological Sciences,Biochemistry and Cell Biology,Karolinska Institutet,Sweden,Unknown
ur.013473032634.17,Xiao-He Hou,41,Psychology,Biological Psychology,Qingdao Municipal Hospital,China,Unknown
ur.013473200024.32,Fang Yin,40,Biomedical and Clinical Sciences,Clinical Sciences,First Affiliated Hospital of Kunming Medical University,China,Unknown
ur.01347323150.03,Line L. Kårhus,1,Biomedical and Clinical Sciences,Epidemiology,Center for Clinical Research and Prevention,Denmark,Female
ur.013473232510.10,Zhaopei Zeng,61,Biomedical and Clinical Sciences,Medical Microbiology,Sun Yat-sen University,China,Unknown
ur.013473241432.70,James B. Rowe,3,Psychology,Biological Psychology,University of Cambridge,United Kingdom,Male
ur.01347325513.71,Sudeshna Sil Kar,2,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Emory University,United States,Female
ur.01347330307.75,Scott R Sponheim,15,Biological Sciences,Genetics,University of Minnesota Twin Cities,United States,Male
ur.01347332256.36,Linda Liliana Muñoz-Hernandez,21,Biological Sciences,Biochemistry and Cell Biology,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,Mexico,Female
ur.01347333147.28,Sylvain Pradervand,1,Biological Sciences,Genetics,University of Lausanne,Switzerland,Male
ur.01347335741.36,Chantal Housset,21,Biomedical and Clinical Sciences,Clinical Sciences,Centre de Recherche Saint-Antoine,France,Female
ur.01347337126.47,Einar Valdimarsson,1,Biomedical and Clinical Sciences,Clinical Sciences,,,Male
ur.01347340070.03,Philippe Charron,7,Biological Sciences,Genetics,Sorbonne Université,France,Male
ur.01347342035.20,Kirsi H. Pietiläinen,21,Biological Sciences,Epidemiology,University of Helsinki,Finland,Female
ur.01347342043.90,Joseph Schindler,31,Health Sciences,Epidemiology,Yale University,United States,Male
ur.01347342054.31,Roy H Campbell,10,Health Sciences,Biological Psychology,University of Illinois at Urbana-Champaign,United States,Male
ur.013473453113.05,Ting Ma,661,Psychology,Biological Psychology,Peng Cheng Laboratory,China,Female
ur.013473464644.76,Chunsheng Cheng,46,Health Sciences,Epidemiology,Shenzhen University,China,Male
ur.013473467067.05,Jinli Zhou,750,Biomedical and Clinical Sciences,Clinical Sciences,Yiwu Central Hospital,China,Unknown
ur.01347353145.07,Xiao Qiao,964,Health Sciences,Health Services and Systems,Xuzhou Medical College,China,Female
ur.01347353257.33,Anupriya Agarwal,106,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,Knight Cancer Institute,United States,Female
ur.013473562761.71,Xiao‐Li Chen,11,Biomedical and Clinical Sciences,Clinical Sciences,Wenzhou Medical University,China,Female
ur.013473622753.61,Maria Manou,2,Biomedical and Clinical Sciences,Clinical Sciences,University of Ioannina,Greece,Female
ur.01347364735.25,James M Flanagan,1,Biomedical and Clinical Sciences,Reproductive Medicine,Imperial College London,United Kingdom,Male
ur.013473660041.17,Danielle Colato,8,Biological Sciences,Genetics,University of Miami,United States,Female
ur.013473721705.79,Yanxian Chen,33,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Hong Kong Polytechnic University,China,Unknown
ur.013473723201.49,Jan Bot,1,Biomedical and Clinical Sciences,Epidemiology,SURFsara (Netherlands),Netherlands,Unknown
ur.01347377551.84,Ruud van der Breggen,1,Biomedical and Clinical Sciences,Epidemiology,Leiden University Medical Center,Netherlands,Male
ur.013474014165.93,P. Bamford,4,Biological Sciences,Genetics,Countess of Chester Hospital,United Kingdom,Male
ur.013474104577.09,Donald W. Bowden,1,Biological Sciences,Genetics,Wake Forest University,United States,Male
ur.013474155227.35,Elizabeth Shumbayawonda,7,Biomedical and Clinical Sciences,Clinical Sciences,Perspectum Ltd,United Kingdom,Female
ur.013474245441.14,Mattia Marchi,12,Psychology,Biological Psychology,University of Modena and Reggio Emilia,Italy,Male
ur.01347426606.33,Yu Hu,16,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,Union Hospital Tongji Medical College Huazhong University of Science and Technology,China,Unknown
