community,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
138,20,Male,9,0.45,"Male (9, 45.0%); Unknown (7, 35.0%); Female (4, 20.0%)"
139,20,Male,10,0.5,"Male (10, 50.0%); Female (9, 45.0%); Unknown (1, 5.0%)"
140,20,Unknown,12,0.6,"Unknown (12, 60.0%); Female (5, 25.0%); Male (3, 15.0%)"
141,20,Female,11,0.55,"Female (11, 55.0%); Male (9, 45.0%)"
142,20,Unknown,10,0.5,"Unknown (10, 50.0%); Female (7, 35.0%); Male (3, 15.0%)"
143,19,Unknown,10,0.5263157894736842,"Unknown (10, 52.6%); Female (5, 26.3%); Male (4, 21.1%)"
144,19,Male,14,0.7368421052631579,"Male (14, 73.7%); Unknown (3, 15.8%); Female (2, 10.5%)"
145,19,Unknown,8,0.42105263157894735,"Unknown (8, 42.1%); Female (6, 31.6%); Male (5, 26.3%)"
146,19,Unknown,8,0.42105263157894735,"Unknown (8, 42.1%); Female (6, 31.6%); Male (5, 26.3%)"
147,19,Unknown,9,0.47368421052631576,"Unknown (9, 47.4%); Female (6, 31.6%); Male (4, 21.1%)"
148,19,Male,11,0.5789473684210527,"Male (11, 57.9%); Female (6, 31.6%); Unknown (2, 10.5%)"
149,19,Unknown,16,0.8421052631578947,"Unknown (16, 84.2%); Male (2, 10.5%); Female (1, 5.3%)"
150,19,Male,12,0.631578947368421,"Male (12, 63.2%); Female (6, 31.6%); Unknown (1, 5.3%)"
151,19,Male,14,0.7368421052631579,"Male (14, 73.7%); Female (4, 21.1%); Unknown (1, 5.3%)"
152,19,Female,9,0.47368421052631576,"Female (9, 47.4%); Male (7, 36.8%); Unknown (3, 15.8%)"
153,18,Unknown,10,0.5555555555555556,"Unknown (10, 55.6%); Male (6, 33.3%); Female (2, 11.1%)"
154,18,Male,9,0.5,"Male (9, 50.0%); Unknown (7, 38.9%); Female (2, 11.1%)"
155,18,Unknown,11,0.6111111111111112,"Unknown (11, 61.1%); Male (4, 22.2%); Female (3, 16.7%)"
156,18,Unknown,13,0.7222222222222222,"Unknown (13, 72.2%); Female (3, 16.7%); Male (2, 11.1%)"
157,18,Unknown,14,0.7777777777777778,"Unknown (14, 77.8%); Male (4, 22.2%)"
158,17,Female,8,0.47058823529411764,"Female (8, 47.1%); Unknown (7, 41.2%); Male (2, 11.8%)"
159,17,Unknown,10,0.5882352941176471,"Unknown (10, 58.8%); Male (5, 29.4%); Female (2, 11.8%)"
160,17,Female,9,0.5294117647058824,"Female (9, 52.9%); Male (7, 41.2%); Unknown (1, 5.9%)"
161,17,Unknown,12,0.7058823529411765,"Unknown (12, 70.6%); Male (4, 23.5%); Female (1, 5.9%)"
162,17,Female,9,0.5294117647058824,"Female (9, 52.9%); Male (6, 35.3%); Unknown (2, 11.8%)"
163,17,Male,9,0.5294117647058824,"Male (9, 52.9%); Female (5, 29.4%); Unknown (3, 17.6%)"
164,17,Male,13,0.7647058823529411,"Male (13, 76.5%); Female (4, 23.5%)"
165,17,Unknown,8,0.47058823529411764,"Unknown (8, 47.1%); Male (6, 35.3%); Female (3, 17.6%)"
166,17,Unknown,9,0.5294117647058824,"Unknown (9, 52.9%); Male (5, 29.4%); Female (3, 17.6%)"
167,17,Unknown,10,0.5882352941176471,"Unknown (10, 58.8%); Female (4, 23.5%); Male (3, 17.6%)"
168,17,Unknown,10,0.5882352941176471,"Unknown (10, 58.8%); Male (5, 29.4%); Female (2, 11.8%)"
169,17,Unknown,11,0.6470588235294118,"Unknown (11, 64.7%); Female (3, 17.6%); Male (3, 17.6%)"
170,16,Male,7,0.4375,"Male (7, 43.8%); Unknown (5, 31.2%); Female (4, 25.0%)"
171,16,Unknown,8,0.5,"Unknown (8, 50.0%); Male (5, 31.2%); Female (3, 18.8%)"
172,16,Male,13,0.8125,"Male (13, 81.2%); Unknown (3, 18.8%)"
173,16,Unknown,10,0.625,"Unknown (10, 62.5%); Female (3, 18.8%); Male (3, 18.8%)"
174,16,Male,11,0.6875,"Male (11, 68.8%); Female (5, 31.2%)"
175,16,Unknown,8,0.5,"Unknown (8, 50.0%); Male (5, 31.2%); Female (3, 18.8%)"
176,16,Unknown,10,0.625,"Unknown (10, 62.5%); Male (4, 25.0%); Female (2, 12.5%)"
177,16,Unknown,9,0.5625,"Unknown (9, 56.2%); Female (5, 31.2%); Male (2, 12.5%)"
178,16,Female,7,0.4375,"Female (7, 43.8%); Male (6, 37.5%); Unknown (3, 18.8%)"
179,16,Female,8,0.5,"Female (8, 50.0%); Male (8, 50.0%)"
180,16,Female,7,0.4375,"Female (7, 43.8%); Unknown (6, 37.5%); Male (3, 18.8%)"
181,16,Unknown,10,0.625,"Unknown (10, 62.5%); Female (4, 25.0%); Male (2, 12.5%)"
182,16,Female,9,0.5625,"Female (9, 56.2%); Male (7, 43.8%)"
183,16,Unknown,8,0.5,"Unknown (8, 50.0%); Female (5, 31.2%); Male (3, 18.8%)"
184,16,Unknown,11,0.6875,"Unknown (11, 68.8%); Female (4, 25.0%); Male (1, 6.2%)"
185,16,Male,11,0.6875,"Male (11, 68.8%); Female (5, 31.2%)"
186,15,Unknown,7,0.4666666666666667,"Unknown (7, 46.7%); Male (6, 40.0%); Female (2, 13.3%)"
187,15,Unknown,9,0.6,"Unknown (9, 60.0%); Female (5, 33.3%); Male (1, 6.7%)"
188,15,Male,6,0.4,"Male (6, 40.0%); Unknown (5, 33.3%); Female (4, 26.7%)"
189,15,Male,7,0.4666666666666667,"Male (7, 46.7%); Unknown (7, 46.7%); Female (1, 6.7%)"
190,15,Female,5,0.3333333333333333,"Female (5, 33.3%); Male (5, 33.3%); Unknown (5, 33.3%)"
191,15,Unknown,11,0.7333333333333333,"Unknown (11, 73.3%); Male (3, 20.0%); Female (1, 6.7%)"
192,15,Unknown,9,0.6,"Unknown (9, 60.0%); Male (5, 33.3%); Female (1, 6.7%)"
193,15,Unknown,11,0.7333333333333333,"Unknown (11, 73.3%); Male (4, 26.7%)"
194,15,Female,6,0.4,"Female (6, 40.0%); Male (5, 33.3%); Unknown (4, 26.7%)"
195,15,Unknown,9,0.6,"Unknown (9, 60.0%); Female (5, 33.3%); Male (1, 6.7%)"
196,15,Unknown,13,0.8666666666666667,"Unknown (13, 86.7%); Male (2, 13.3%)"
197,15,Unknown,7,0.4666666666666667,"Unknown (7, 46.7%); Male (6, 40.0%); Female (2, 13.3%)"
198,15,Male,13,0.8666666666666667,"Male (13, 86.7%); Female (2, 13.3%)"
199,15,Unknown,9,0.6,"Unknown (9, 60.0%); Male (4, 26.7%); Female (2, 13.3%)"
200,14,Unknown,12,0.8571428571428571,"Unknown (12, 85.7%); Male (2, 14.3%)"
201,14,Unknown,8,0.5714285714285714,"Unknown (8, 57.1%); Female (6, 42.9%)"
202,14,Female,7,0.5,"Female (7, 50.0%); Male (7, 50.0%)"
203,14,Unknown,9,0.6428571428571429,"Unknown (9, 64.3%); Female (3, 21.4%); Male (2, 14.3%)"
204,14,Female,7,0.5,"Female (7, 50.0%); Unknown (6, 42.9%); Male (1, 7.1%)"
205,14,Male,10,0.7142857142857143,"Male (10, 71.4%); Female (2, 14.3%); Unknown (2, 14.3%)"
