rcdc_tag,papers
Infertility,127
Multiple Sclerosis,124
Psoriasis,124
Ovarian Cancer,122
Stem Cell Research,122
Infant Mortality,116
Drug Abuse (NIDA only),113
Hearing Loss,107
Post-Traumatic Stress Disorder (PTSD),106
Sepsis,105
Maternal Morbidity and Mortality,99
Headaches,99
Autism,97
Rehabilitation,95
Lymphatic Research,95
Violence Research,94
Suicide,92
Migraines,92
Congenital Structural Anomalies,91
Peripheral Neuropathy,89
Pneumonia & Influenza,85
Pediatric Cardiomyopathy,85
Lymphoma,83
Congenital Heart Disease,82
Childhood Injury,74
Immunization,74
Child Abuse and Neglect Research,73
Attention Deficit Hyperactivity Disorder (ADHD),73
Uterine Cancer,71
ALS,69
Epilepsy,67
Lupus,67
Cannabinoid Research,66
Vaccine Related,66
Coronaviruses Therapeutics and Interventions,62
Conditions Affecting the Embryonic and Fetal Periods,58
Eczema / Atopic Dermatitis,57
Immunotherapy,56
Menopause,55
Pneumonia,54
Post-Acute Sequelae of SARS-CoV-2 infection (PASC) including Long COVID,52
Endometriosis,48
Brain Cancer,45
Suicide Prevention,44
Eating Disorders,42
Stem Cell Research - Nonembryonic - Non-Human,42
Comparative Effectiveness Research,36
Pediatric Cancer,35
Opioids,35
Underage Drinking,34
Anorexia,33
Stem Cell Research - Nonembryonic - Human,31
Sexually Transmitted Infections,30
Burden of Illness,30
Stomach Cancer,30
Lewy Body Dementia,29
Traumatic Head and Spine Injury,29
Influenza,29
Cervical Cancer,29
Pulmonary Fibrosis,28
Health Effects of Indoor Air Pollution,28
Back Pain,28
Coronaviruses Vaccines,28
Transplantation,27
Chronic Fatigue Syndrome (ME/CFS),27
Digestive Diseases - (Gallbladder),26
Assistive Technology,26
Cost Effectiveness Research,25
Opioid Misuse and Addiction,24
Stem Cell Research - Induced Pluripotent Stem Cell,24
Stem Cell Research - Induced Pluripotent Stem Cell - Human,23
Polycystic Ovary Syndrome (PCOS),23
Esophageal Cancer,21
Frontotemporal Dementia (FTD),21
Childhood Leukemia,20
Coronaviruses Diagnostics and Prognostics,20
Traumatic Brain Injury (TBI),20
HIV/AIDS,19
Primary Health Care,17
Regenerative Medicine,17
"Breastfeeding, Lactation and Breast Milk",16
Organ Transplantation,16
Sexual and Gender Minorities (SGM/LGBT*),16
Digestive Diseases - (Peptic Ulcer),15
Hepatitis - C,14
Underage Drinking - Prevention & Treatment (NIAAA Only),13
Polycystic Kidney Disease,13
Cystic Fibrosis,13
Fibromyalgia,12
Emphysema,12
Sickle Cell Disease,12
Rural Health,12
Fibroid Tumors (Uterine),12
Pulmonary Hypertension,11
Allergic Rhinitis (Hay Fever),11
Vector-Borne Diseases,11
American Indian or Alaska Native,11
Tuberculosis,10
Violence Against Women,9
Dystonia,8
Myasthenia Gravis,8
Radiation Oncology,7
Food Allergies,6
Youth Violence,6
Spinal Cord Injury,6
Endocrine Disruptors,6
Temporomandibular Muscle/Joint Disorder (TMJD),6
Huntington's Disease,6
Hepatitis - B,6
Scleroderma,6
Hodgkin's Disease,5
Foodborne Illness,5
Prescription Drug Abuse,5
Workforce Diversity and Outreach,5
Fragile X Syndrome,5
Endocannabinoid System Research,5
Acute Respiratory Distress Syndrome,4
West Nile Virus,4
Neuroblastoma,4
Neurofibromatosis,4
Malaria,4
Osteogenesis Imperfecta,4
Antimicrobial Resistance,3
Celiac Disease,3
Cachexia,3
Down Syndrome,3
Physical Rehabilitation,3
Tourette Syndrome,2
Emergency Care,2
Stem Cell Research - Embryonic - Human,2
Ataxia Telangiectasia,2
Gene Therapy,2
Cerebral Palsy,2
Hydrocephalus,2
Spinal Muscular Atrophy,2
Telehealth,2
Climate Change,2
Muscular Dystrophy,2
Tuberous Sclerosis,2
Fetal Alcohol Spectrum Disorders (FASD),1
Stimulant Use and Misuse,1
Otitis Media,1
Vaccine Related (AIDS),1
Therapeutic Cannabinoid Research,1
Nanotechnology,1
Charcot-Marie-Tooth Disease,1
Aphasia,1
Lymphedema,1
Wound Healing and Care,1
Substance Abuse Prevention,1
Rett Syndrome,1
Small Pox,1
Natural Products,1
Tickborne Diseases,1
Lyme Disease,1
Myotonic Dystrophy,1
Stem Cell Research - Embryonic - Non-Human,1
HPV and/or Cervical Cancer Vaccines,1
Duchenne/ Becker Muscular Dystrophy,1
Health Effects of Household Energy Combustion,1
Lead Poisoning,1
Sudden Infant Death Syndrome,1
Stem Cell Research - Induced Pluripotent Stem Cell - Non-Human,1
