L4_name,L2_name,papers,total_citations,mean_citations,total_altmetric,h_index,modal_researcher,unique_researchers,modal_org,unique_orgs,percent_female
Policy and Administration,Human Society,4,24,6.0,10.0,2,Hai-Lun Liang,13,Peking University,6,46.666666666666664
"Agriculture, Land and Farm Management","Agricultural, Veterinary and Food Sciences",4,225,56.25,2928.0,3,Aedin Cassidy,42,Harvard University,23,38.095238095238095
Software Engineering,Information and Computing Sciences,3,24,8.0,15.0,2,Alexandre A Khrapitchev,13,Baker IDI Heart and Diabetes Institute,8,23.076923076923077
Criminology,Human Society,3,8,2.6666666666666665,0.0,1,Bao-Peng Liu,24,First Affiliated Hospital of Guangzhou Medical University,6,8.333333333333334
Macromolecular and Materials Chemistry,Chemical Sciences,3,4,1.3333333333333333,1.0,1,Feng Zeng,19,Yale University,19,5.2631578947368425
Gender Studies,Human Society,3,29,9.666666666666666,106.0,3,Alicia R Riley,9,ARC Centre of Excellence for Children and Families over the Life Course,9,33.333333333333336
Specialist Studies In Education,Education,3,1,0.3333333333333333,3.0,1,Alana Iaboni,42,Hospital for Sick Children,27,38.095238095238095
Fluid Mechanics and Thermal Engineering,Engineering,3,158,52.666666666666664,224.0,3,Abhishek Niroula,46,Harvard University,32,34.78260869565217
Applied Mathematics,Mathematical Sciences,3,6,2.0,3.0,1,Abdulaziz Altamimi,14,Islamia University of Bahawalpur,10,14.285714285714286
"Banking, Finance and Investment","Commerce, Management, Tourism and Services",3,6,2.0,65.0,1,Alexander V Lebedev,7,Karolinska Institutet,6,0.0
"Transportation, Logistics and Supply Chains","Commerce, Management, Tourism and Services",3,22,7.333333333333333,1.0,2,Batel Blechter,13,Johns Hopkins University,4,50.0
Public Law,Law and Legal Studies,2,3,1.5,0.0,1,Alfredo Iacoangeli,9,King's College London,5,77.77777777777777
"Education Policy, Sociology and Philosophy",Education,2,138,69.0,327.0,2,Anders Lundquist,29,University of Oxford,20,27.586206896551722
Environmental Management,Environmental Sciences,2,0,0.0,0.0,0,Ding Ye,22,"Data Center, Yinzhou District Center for Disease Control and Prevention, Ningbo, China",8,27.272727272727273
Numerical and Computational Mathematics,Mathematical Sciences,2,6,3.0,1.0,1,Abdulaziz Altamimi,10,Islamia University of Bahawalpur,8,20.0
Materials Engineering,Engineering,2,9,4.5,1.0,1,Amy F D Howard,21,Donghua University,7,14.285714285714286
"Control Engineering, Mechatronics and Robotics",Engineering,2,8,4.0,2.0,2,Alejandro F Frangi,11,Alberta Children's Hospital Research Institute,10,18.181818181818183
Curriculum and Pedagogy,Education,2,7,3.5,80.0,1,Dong-Qing Ye,8,Anhui Medical University,3,12.5
Applied Ethics,Philosophy and Religious Studies,2,58,29.0,1.0,1,Amy P K Nelson,15,University of Copenhagen,3,40.0
Industrial Biotechnology,Biological Sciences,2,5,2.5,2.0,1,Ai-Hua Zhao,13,MRC Integrative Epidemiology Unit,7,30.76923076923077
Linguistics,"Language, Communication and Culture",1,0,0.0,255.0,0,Allison Marie Momany,11,Massachusetts General Hospital,3,27.272727272727273
Theoretical and Computational Chemistry,Chemical Sciences,1,0,0.0,0.0,0,Artitaya Lophatananon,3,Chi Mei Medical Center,2,0.0
Design,Built Environment and Design,1,2,2.0,0.0,1,Brigitte Mueller,9,Johns Hopkins University,3,33.333333333333336
Theory Of Computation,Information and Computing Sciences,1,0,0.0,1.0,0,Cheng Wang,6,Icahn School of Medicine at Mount Sinai,2,33.333333333333336
Private Law and Civil Obligations,Law and Legal Studies,1,1,1.0,3.0,1,Anish Karpurapu,4,Duke University,2,50.0
Business Systems In Context,"Commerce, Management, Tourism and Services",1,0,0.0,47.0,0,Andrew Haddon Kemp,3,Swansea University,1,0.0
Forestry Sciences,"Agricultural, Veterinary and Food Sciences",1,0,0.0,0.0,0,Ding Ye,16,"Data Center, Yinzhou District Center for Disease Control and Prevention, Ningbo, China",7,18.75
Cultural Studies,"Language, Communication and Culture",1,1,1.0,0.0,1,,0,,0,0.0
Aerospace Engineering,Engineering,1,0,0.0,1.0,0,,0,,0,0.0
Civil Engineering,Engineering,1,2,2.0,1.0,1,A Robert Harris,8,Aeye Health LLC,4,12.5
"Traditional, Complementary and Integrative Medicine",Health Sciences,1,0,0.0,0.0,0,Guang Chen,11,Affiliated Hospital of Shaanxi University of Chinese Medicine,9,36.36363636363637
